GEOID,STATEFP,COUNTYFP,TRACTCE,Proximity_PCA1,Proximity_PCA2,stnd_Proximity_PCA1,stnd_Proximity_PCA2
37119005915,37,119,5915,0.757409147,0.249327558,118.9352287,106.233189
37119005916,37,119,5916,0.285464292,-0.267864759,107.1366073,93.30338103
37119005918,37,119,5918,0.197070329,-0.281165017,104.9267582,92.97087459
37119005919,37,119,5919,-0.243663931,-0.891599226,93.90840173,77.71001936
37119005921,37,119,5921,-0.533666517,-0.670622465,86.65833708,83.23443838
37119005922,37,119,5922,-1.018929179,-1.440313851,74.52677053,63.99215374
37119005923,37,119,5923,-0.179616704,-0.949462372,95.50958239,76.2634407
37119005924,37,119,5924,-0.638118166,-1.284322249,84.04704585,67.89194378
37119005925,37,119,5925,-0.796012529,-1.192785975,80.09968679,70.18035063
37119005926,37,119,5926,-2.75697172,-2.70532242,31.075707,32.3669395
37119005927,37,119,5927,0.463104397,-0.126080576,111.5776099,96.84798559
37119005928,37,119,5928,0.049750813,-0.67270879,101.2437703,83.18228025
37119005929,37,119,5929,0.293268991,-0.250053343,107.3317248,93.74866642
37119005930,37,119,5930,0.521966191,0.09279654,113.0491548,102.3199135
37119005931,37,119,5931,0.376193904,-0.323281978,109.4048476,91.91795054
37119005932,37,119,5932,0.587439227,-0.294834664,114.6859807,92.62913341
37119006008,37,119,6008,-0.157512778,-1.006638331,96.06218055,74.83404172
37119006009,37,119,6009,-0.039197163,-0.987246326,99.02007092,75.31884185
37119006011,37,119,6011,0.477508824,-0.513928223,111.9377206,87.15179442
37119006012,37,119,6012,-0.008164215,-0.574293395,99.79589461,85.64266512
37119006013,37,119,6013,0.094609023,-0.65281497,102.3652256,83.67962575
37119006014,37,119,6014,-0.325183847,-1.094970009,91.87040382,72.62574978
37119006016,37,119,6016,0.17711853,-0.993121288,104.4279632,75.1719678
37119006103,37,119,6103,0.237213183,-0.764280002,105.9303296,80.89299995
37119006105,37,119,6105,-0.130188654,-1.011630818,96.74528364,74.70922954
37119006108,37,119,6108,0.128279201,-1.135262115,103.20698,71.61844714
37119006109,37,119,6109,0.406872317,-0.761826527,110.1718079,80.95433682
37119006110,37,119,6110,-0.012202535,-0.892546679,99.69493662,77.68633303
37119006111,37,119,6111,-0.106225358,-0.864553078,97.34436605,78.38617305
37119006112,37,119,6112,-0.105021756,-0.885340049,97.37445611,77.86649878
37119006113,37,119,6113,-0.125068995,-0.837920908,96.87327514,79.05197729
37119006114,37,119,6114,-0.139883755,-1.013341607,96.50290613,74.66645981
37119006115,37,119,6115,0.016774553,-0.753526652,100.4193638,81.16183371
37119006208,37,119,6208,-0.046916217,-0.424195705,98.82709458,89.39510737
37119006209,37,119,6209,0.587059214,-0.211019174,114.6764804,94.72452065
37119006210,37,119,6210,-0.391124207,-0.771867046,90.22189481,80.70332385
37119006211,37,119,6211,-0.025773209,-0.923070568,99.35566977,76.9232358
37119006212,37,119,6212,0.424109547,-0.548533256,110.6027387,86.28666859
37119006214,37,119,6214,-0.812508325,-1.244503376,79.68729187,68.8874156
37119006216,37,119,6216,-0.396252647,-0.958946771,90.09368382,76.02633072
37119006217,37,119,6217,-1.769675789,-1.463006865,55.75810528,63.42482838
37119006218,37,119,6218,-1.983302931,-1.802449309,50.41742672,54.93876727
37119006219,37,119,6219,-1.350020463,-1.530544442,66.24948844,61.73638894
37119006220,37,119,6220,-1.192276709,-0.949195588,70.19308228,76.27011031
37119006221,37,119,6221,-1.550158644,-1.936112348,61.2460339,51.5971913
37119006306,37,119,6306,0.135616819,-0.836788727,103.3904205,79.08028182
37119006308,37,119,6308,0.57951575,-0.391137368,114.4878937,90.22156579
37119006309,37,119,6309,0.82993867,0.019498839,120.7484667,100.487471
37119006403,37,119,6403,0.202940177,-0.045602772,105.0735044,98.8599307
37119006407,37,119,6407,0.49498601,-0.377647231,112.3746503,90.55881922
37119006408,37,119,6408,0.585260074,0.297103617,114.6315018,107.4275904
